food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B2,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Nutrition Density,
cream cheese,51,5,2.9,1.3,0.2,0.8,0.5,0.9,0,14.6,0.016,7.6,0.2,0.033,0.097,0.004,0,0,0.1,0.008,0.082,7.07,
neufchatel cheese,215,19.4,10.9,4.9,0.8,3.1,2.7,7.8,0,62.9,0.3,53.6,0.2,0.099,0.1,0,0,0.3,0.045,99.5,0.1,130.1,
requeijao cremoso light catupiry,49,3.6,2.3,0.9,0,0.9,3.4,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5.4,
ricotta cheese,30,2,1.3,0.5,0.002,1.5,0.091,1.5,0,9.8,0.017,14.7,0.075,0.019,0.027,0.006,0,0.001,0.011,0.097,0.097,5.196,
cream cheese low fat,30,2.3,1.4,0.6,0.042,1.2,0.9,1.2,0,8.1,0.046,10,0.016,0.08,0.026,0,0.036,0.009,0.019,22.2,0.008,27.007,
cream cheese fat free,19,0.2,0.1,0.091,0.075,1.4,1,2.8,0,2.2,0.1,12.9,0.063,0.02,0.021,0,0,0.049,0.059,63.2,0.053,67.679,
gruyere cheese,116,9.1,5.3,2.8,0.5,0.1,0.1,8.3,0,30.8,0.2,9.3,0.061,0.021,0.004,0,0.034,0.035,0.048,283.1,0.094,300.694,
cheddar cheese,113,9.3,5.3,2.6,0.3,0.9,0.1,6.4,0,27.7,0.2,10.3,0.054,0.031,0.1,0,0.06,0.2,0.035,198.8,0.077,215.53,
parmesan cheese,71,4.5,2.7,1.4,0.1,0.6,0.046,6.4,0,12.2,0.2,5.4,0.067,0.062,0.057,0,0.095,0.018,0.021,213.1,0.1,224.777,
romano cheese,19,1.3,0.9,0.4,0.035,0.2,0.088,1.6,0,5.2,0.008,1.5,0.064,0.058,0.059,0,0.073,0.078,0.004,53.2,0.03,56.38,
parmesan cheese grated,21,1.4,0.8,0.4,0.036,0.7,0.075,1.4,0,4.3,0.043,1.1,0.017,0.003,0.081,0.007,0,0.002,0.014,0.012,0.094,3.745,
port salut cheese,465,37.2,22,12.3,1,0.8,0.8,31.4,0,162.4,0.7,60,0.4,0.012,0.3,0,0.057,0.3,0.094,858,0.6,928.4,
swiss cheese,98,7.7,4.6,2,0.3,0.4,0,6.7,0,23.3,0.057,9.4,0.069,0.008,0.018,0,0.016,0.2,0.056,222.5,0.024,237.396,
goat cheese hard,128,10.1,7,2.3,0.2,0.6,0.6,8.6,0,29.7,0.076,8.2,0.1,0.071,0.3,0,0.044,0.083,0.039,253.3,0.5,273.2,
gouda cheese,100,7.7,4.9,2.2,0.2,0.6,0.6,7,0,31.9,0.2,11.6,0.053,0.016,0.009,0,0.04,0.026,0.074,196,0.06,211.424,
pepper jack cheese lucerne,75,6,4,0,0,0,0,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,13.5,
caraway cheese,106,8.3,5.3,2.3,0.2,0.9,0,7.1,0,26.3,0.2,11.1,0.014,0.077,0.1,0,0,0,0,190.5,0.2,207.072,
gjetost cheese,1058,67,43.5,17.9,2.1,96.8,0,21.9,0,213.4,1.4,30.5,0.8,0.7,3.1,0,0,0,0,908,1.2,1095.7,
tilsit cheese,136,10.4,6.7,2.9,0.3,0.8,0,9.8,0,40.8,0.3,17.1,0.057,0.036,0.1,0,0,0,0,280,0.01,301.069,
goat cheese,103,8.4,5.8,1.9,0.2,0.009,0.031,6.1,0,22.4,0.1,12.9,0.1,0.013,0.2,0,0.078,0.082,0.046,84.3,0.5,99.494,
brick cheese,111,8.9,5.6,2.6,0.2,0.8,0.2,7,0,28.2,0.2,12.3,0.016,0.042,0.1,0,0.042,0.072,0.064,202.2,0.1,219.002,
asadero cheese,402,31.9,20.3,9.1,1,3.2,3.2,25.5,0,118.7,0.7,47.6,0.098,0.034,0.3,0,0.071,0.3,0.02,746.9,0.6,808.175,
camembert cheese,90,7.3,4.6,2.1,0.2,0.1,0.1,5.9,0,21.6,0.3,15.5,0.091,0.054,0.1,0,0.093,0.014,0.024,116.4,0.063,129.826,
provolone cheese reduced fat,310,19.9,12.8,5.5,0.6,4,0.6,27.9,0,62.2,1,57.2,0.2,0.05,0.4,0,0.027,0.2,0.076,854.3,0.6,906.9,
roquefort cheese,314,26,16.4,7.2,1.1,1.7,0,18.3,0,76.5,1.5,33.5,0.2,0.092,0.5,0,0,0,0,562.7,0.5,609.4,
queso blanco cheese,366,28.7,16.1,7.6,1.4,3,2.1,24,0,82.6,0.8,57.5,0.2,0.097,0.3,0,0.05,0.6,0.061,814.2,0.2,870.3,
queso seco cheese,315,23.6,13.3,6.2,1.2,2,0.5,23.8,0,75.7,1.8,40.9,0.2,0.038,0.2,0,0.032,0.5,0.045,641.2,0.2,691,
goat cheese soft,75,6,4.1,1.4,0.1,0,0.3,5.2,0,13,0.1,17.2,0.049,0.057,0.1,0,0.092,0.01,0.093,39.6,0.5,51.311,
mozzarella cheese,90,6.6,4.2,2,0.2,0.7,0,6.7,0,23.7,0.1,15,0.037,0.088,0.071,0,0.044,0.001,0.008,151.5,0.1,165.648,
chihuahua cheese,494,39.2,24.9,11.1,1.2,7.3,7.3,28.5,0,138.6,0.8,51.7,0.007,0.053,0.3,0,0.089,0.3,0.011,859.3,0.6,934.983,
limburger cheese,98,8.2,5,2.6,0.1,0.1,0.1,6,0,27,0.2,14.5,0.1,0.021,0.2,0,0.004,0.055,0.046,149.1,0.011,163.575,
muenster cheese,486,39.7,25.2,11.5,0.9,1.5,1.5,30.9,0,126.7,0.8,55.1,0.4,0.016,0.4,0,0.065,0.3,0.056,946.4,0.5,1019.4,
queso fresco cheese,365,29.1,15.8,7.3,1.3,3.6,2.8,22.1,0,84.2,0.9,62.7,0.3,0.019,0.2,0,0.055,0.5,0.087,690.5,0.2,745.8,
brie cheese,100,8.3,5.2,2.4,0.2,0.1,0.1,6.2,0,30,0.2,14.5,0.014,0.04,0.2,0,0.068,0.078,0.056,55.2,0.2,70.096,
pimento cheese,525,43.7,27.5,12.5,1.4,2.4,0.9,31,0.1,131.6,2,54.7,0.3,0.023,0.5,3.2,0.099,0.4,0.086,859.6,0.6,940.9,
mexican cheese,316,21.7,13,5.6,0.8,3.8,0.6,27.7,0,69.4,0.9,54,0.2,0.091,0.3,0,0.087,0.2,0.073,1283.5,0.1,1337,
feta cheese,80,6.4,4,1.4,0.2,1.2,0,4.3,0,26.7,0.3,16.6,0.014,0.063,0.3,0,0.06,0.036,0.057,147.9,0.2,160.058,
mozzarella cheese fat free,159,0,0,0,0,4,1.7,35.8,2,20.3,0.8,68,0.1,0.079,0.3,0,0,0.2,0.018,1085.9,0.4,1128.2,
provolone cheese,463,35.1,22.5,9.8,1,2.8,0.7,33.8,0,91.1,1.2,54.1,0.3,0.013,0.4,0,0.028,0.3,0.001,997.9,0.7,1070.6,
anejo cheese,492,39.6,25.1,11.3,1.2,6.1,6.1,28.3,0,138.6,1.5,50.2,0.098,0.069,0.3,0,0.032,0.3,0.078,897.6,0.6,972.205,
honey,64,0,0,0,0,17.3,17.2,0.08,0.025,0,0.011,3.6,0,0,0.003,0.1,0,0,0,1.3,0.017,18.892,
apple butter,35,0.063,0.038,0.066,0.064,8.5,7.1,0.045,0.3,0,0.003,11.3,0,0.078,0.053,0.1,0,0.06,0.075,2.8,0.025,11.836,
fruit jam,56,0.095,0.021,0.065,0,13.8,9.7,0,0.2,0,0.052,6.1,0,0.083,0.024,1.8,0,0.062,0,4,0.07,19.919,
chocolate hazelnut spread,100,5.5,5.3,0,0,11.5,10,1,1,0,0.099,0.2,0,0.005,0.036,0,0,0.9,0.071,20,0.8,39.8,
peanut butter,88,7.4,1.4,3.1,1.7,3.6,1,3.3,0.9,0,0.085,0.2,0,0,0,0.078,0,0,0.9,0,0.079,15.268,
peanut spread,101,8.5,1.6,4.2,2.5,2.2,0.5,3.8,1.2,0,0.028,0.3,0,0.091,0.025,0,0,1.2,0.046,11.2,0.4,27.3,
chicken spread,88,9.8,1.8,2.7,1.3,2.3,0.3,10.1,0.2,31.4,0.4,32.1,0.076,0.06,0.003,0,0,0,0,9,0.5,31.972,
cheese spread,708,68.6,43.2,19.4,2.5,8.4,8.4,17,0,216,1.2,140.4,0.7,0.071,0.5,0,0.091,1.8,0.098,170.4,2.7,267.8,
tahini,86,7.2,1,2.7,3.2,3.9,0,2.7,1.4,0,0.098,0.5,0,0.2,0.086,0,0,0,0,63,0.4,78.6,
orange marmalade,49,0,0,0,0,13.3,12,0.014,0.1,0,0.016,6.6,0,0.098,0.075,1,0,0.089,0,7.6,0.053,22.119,
american cheese spread,46,3.4,2.1,1,0.062,1.4,1.2,2.6,0,8.8,0.3,7.6,0.043,0.012,0.076,0,0.014,0.022,0.046,89.9,0.079,97.357,
apricot jam,48,0.01,0.042,0,0,12.9,8.7,0.1,0.044,0,0.004,6.9,0,0,0.053,1.8,0,0.048,0,4,0.066,18.91,
chunky peanut butter,94,8,1.2,3.7,2.2,3.5,1.3,3.8,1.3,0,0.03,0.2,0,0.018,0.013,0,0,1,0.016,7.2,0.3,24.1,
ham and cheese spread,37,2.8,1.3,1.1,0.2,0.3,0,2.4,0,9.2,0.2,8.9,0.03,0,0.066,0,0,0,0,32.6,0.1,38.238,
chicken and rice casserole homade,27,1,0,0,0,2.4,0,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,5.7,
picnic loaf,65,4.7,1.7,2.2,0.5,1.3,0,4.2,0,10.6,0.3,16.9,0,0.1,0.01,0,0.025,0,0,13.2,0.3,23.7,
corn tamale,309,12,4.4,4,2.6,44.3,12.3,5.8,5.3,0,0.5,101.8,0,0.098,0.023,0,0,0.7,0.052,39.8,0.9,108.1,
baked potato with cheese sauce bacon,451,25.9,10.1,9.7,4.8,44.4,0,18.4,0,29.9,1,194.4,0.2,0.3,0.2,28.7,0,0,0,308,3.1,428.7,
chinese egg roll,223,10.6,1.9,2.7,5,24.3,0,7.4,2.3,14.2,0.4,45,0,0.1,0.001,0,0,0,0.066,35.6,1.3,81.5,
butter croissant,231,12,6.6,3.1,0.6,26.1,6.4,4.7,1.5,38.2,0.2,13.2,0.1,0.2,0.1,0.1,0,0.5,0.022,21.1,1.2,66.8,
enchilada with cheese beef,323,17.6,9,6.1,1.4,30.5,0,11.9,0,40.3,1.3,128.4,0.016,0.056,0.4,1.3,0,0,0,228.5,3.1,292.933,
corned beef hash with potatoes,387,24.2,10.2,12.4,0.7,21.9,0.8,20.6,2.6,75.5,1,166,0,0.2,0.1,2.1,0,0.057,0.017,44.8,2.4,118.6,
biscuit with egg cheese bacon,436,25.3,8.5,11.7,2.8,35.4,2.5,17.4,0.3,240.7,1.2,62.3,0.1,0.4,0.4,0,0.095,1.5,0.098,149.4,2.3,230.2,
bagel with ham egg cheese,483,18.5,7.9,5.7,3.3,52.4,7,26.7,0.4,242.6,1.3,88.7,0.2,0.7,0.6,0,0.001,1.2,0.018,185.3,4.1,287.6,
quesadilla with chicken,529,27.5,11.1,6.8,7.4,43.3,3.4,27.1,3.1,66.6,1.3,76.7,0.1,0.4,0.3,0.2,0.1,0.5,0.03,484.2,3.2,588.7,
corn rice,110,0.3,0.02,0,0.1,25.2,3,1.8,0.4,0,0.2,1.1,0.2,1.8,1.1,11.2,0,0.035,0,2.9,9.9,51.9,
kung pao chicken,779,42.2,8.2,13.1,18.2,41.5,18.3,59,9.1,157,2.4,451.7,0,0.2,0.3,42.9,0,6.2,0.012,120.8,4.6,320.1,
beef empanada,298,16.3,4.6,6.3,3.8,27.8,1.6,10.1,1.8,23.1,0.4,33.4,0,0.2,0.2,0,0,0.6,0.072,17.8,2.4,76.2,
frijoles with cheese,225,7.8,4.1,2.6,0.7,28.7,0,11.4,0,36.7,0.9,115.4,0.008,0.1,0.3,1.5,0,0,0,188.7,2.2,240.305,
burrito with beef,285,8.1,1.7,1.7,4,43.9,4.1,9.1,4.4,2.6,0.5,65.8,0.036,0.036,0.023,0.1,0.4,0,0.5,0.042,0.2,65.89,
crispy chicken sandwich,350,17.6,3.3,4,8.4,33.2,3.9,14.8,0,0,0.7,57.9,0,0,0,0,0,0,0,46.6,1.9,114.1,
enchilada with cheese,374,25.3,11.5,6.4,3.8,21.2,3.6,15.4,2.6,57.5,0.7,71.8,0.7,0.3,0.036,0.2,0.8,0,1.8,0,0.2,65.6,
pork egg roll,189,6.1,1.3,2,2.1,25.1,4.5,8.4,1.8,11.9,0.3,43.6,0,0.2,0.023,24.9,0.085,0.2,0.064,28.9,1.3,96.5,
corn on the cob with butter,155,3.4,1.6,1,0.6,31.9,0,4.5,0,5.8,0.056,105.2,0.004,0.2,0.1,6.9,0,0,0,4.4,0.9,52.078,
pancakes with butter syrup,260,7,2.9,2.6,1,45.4,0,4.1,0,29,0.6,57.7,0.015,0.2,0.3,1.7,0,0.7,0,63.8,1.3,123.319,
burrito with beans,224,6.7,3.4,2.4,0.6,35.7,0,7,0,2.2,0.5,57,0,0.3,0.3,1,0,0,0,56.4,2.3,109.1,
scrambled eggs,100,7.6,2.9,2.8,0.9,1,0.8,6.5,0,200.2,0.1,31.3,0.066,0.066,0.2,1.6,0.086,0.5,0.001,26.8,1.2,44.726,
baked potato with sour cream,393,22.3,10,7.9,3.3,50,0,6.7,0,24.2,0.2,209.7,0.2,0.3,0.2,33.8,0,0,0,105.7,3.1,221.8,
turkey and gravy,161,6.3,2,2.3,1.1,11.1,0,14.1,0,43.2,1.3,204.2,0.018,0.067,0.3,0,0,0,0,33.6,2.2,67.374,
chicken egg roll,158,3.6,0.8,1.1,1.5,22.8,4.5,8.4,1.9,11.2,0.4,43.3,0.085,0.2,0.1,9,0,0.3,0.072,37.6,1.4,84.75,
vegetable egg roll,153,3.6,0.6,1,1.7,25,5.3,5.2,2.2,0,0.4,42.5,0,0.2,0.1,10.7,0,0.4,0.099,35.9,1.5,84.1,
ham cheese roll,67,5.2,2,2.4,0.6,1.1,0,3.8,0,16.2,0.3,16.9,0,0.2,0.033,0,0.061,0.037,0,16.2,0.3,26.6,
biscuit with ham,386,18.4,11.4,4.8,1,43.8,2.2,13.4,0.8,24.9,1.1,32.1,0.05,0.5,0.3,0.1,0.08,1.4,0.089,160.5,2.7,239.732,
lemon chicken,1440,74.9,12.2,16.4,36.7,122,55.2,68.6,7,203.8,1.5,363.6,0.099,0.3,0.4,15.9,0.045,8.1,0.2,248.4,8.4,545.212,
hummus,435,21.1,2.8,12,5.2,49.5,0.7,12,9.8,0,0.6,159.6,0,0.2,0.1,19.4,0,1.8,0.059,120.5,3.8,236.1,
croissant with egg cheese,368,24.7,14.1,7.5,1.4,24.3,0,12.8,0,215.9,0.6,57.7,0,0.2,0.4,0.1,0,0,0,243.8,2.2,307.9,
enchirito with cheese beef beans,344,16.1,7.9,6.5,0.3,33.8,0,17.9,0,50.2,1.3,121,0.074,0.2,0.7,4.6,0,0,0,218.1,2.4,292.984,
sweet sour pork,38,2.2,0.4,0.5,1,3.3,1.4,1.2,0.1,3.4,0.003,7.1,0.003,0.073,0.053,0.3,0,0.1,0.058,6.4,0.4,13.977,
crab cake,160,10.4,2.2,4.3,3.1,5.1,0,11.3,0.2,82.2,0.5,32,0.062,0.039,0.016,0.2,0,0,0,202.2,1.1,230.596,
egg dinner roll,107,2.2,0.6,1,0.4,18.2,1.5,3.3,1.3,17.5,0.2,10.6,0.051,0.2,0.2,0,0,0.1,0.082,20.7,1.2,46.913,
english muffin with egg cheese sausage,472,29.9,11.4,11.2,4.6,28.8,2.5,22.1,0.3,269,0.8,80.6,0.1,0.6,0.4,0,0.063,1.6,0.051,277.2,4.3,362.7,
buttermilk pancakes,86,3.5,0.7,0.9,1.7,10.9,0,2.6,0,22,0.2,20,0.094,0.017,0.1,0.2,0,0,0,59.7,0.6,77.568,
omelet,94,7.1,2,3,1.7,0.4,0.2,6.4,0,190.9,0.013,46.4,0.4,0.1,0.055,0.003,0,0.098,0.8,0.05,0.07,14.377,
taco with chicken cheese lettuce,185,6.2,2.5,1.6,1.6,19.3,1.3,13,1.2,28.4,0.6,57.3,0.014,0.2,0.1,0.2,0.017,0.2,0.075,119.6,1.6,161.153,
spinach souffle,230,17.6,10.1,5,1,8,2.5,10.7,1,160.5,0.8,96.2,0.2,0.1,0.4,9.9,0.063,1.3,0.2,224.4,1.6,273.4,
english muffin with cheese sausage,365,22.3,8.8,8.5,3.4,27.3,2.1,14.3,0.5,46.4,0.7,41,0.074,0.5,0.2,0,0.085,0.6,0.01,226.8,3.4,294.696,
potato gratin,328,18.6,11.6,5.3,0.7,27.6,0,12.4,4.4,56.4,1.1,181.3,0.2,0.2,0.3,24.3,0,0,0,291.6,1.6,380.7,
biscuit with egg,436,25.3,8.5,11.7,2.8,35.4,2.5,17.4,0.3,240.7,1.2,62.3,0.1,0.4,0.4,0.1,0.027,1.5,0.037,149.4,2.3,230.3,
french fries deep fried,222,10.5,1.7,4.2,3.8,29.4,0.2,2.4,2.7,0,0.1,27.4,0.063,0,0,0.3,3.3,0,1.2,0.075,0.038,45.364,
sweet sour chicken,46,2.3,0.4,0.5,1.2,4.4,2.1,1.8,0.2,4.9,0.043,9.5,0.031,0.002,0.015,0.4,0,0.2,0.098,8.2,0.4,17.773,
burrito with beans beef,460,18,7,7.8,1.4,47,5.3,27.8,7.2,62.7,1.4,144.6,0.096,0.4,0.3,4.6,0.059,1.1,0.022,216.9,4.6,326.183,
nachos with cinnamon sugar,592,36,18.2,11.8,4.1,63.4,0,7.2,0,39.2,0.4,1.1,0,0.2,0.4,8,0,0,0,85,2.9,202.5,
arroz con grandules,209,5.7,0.9,1.2,2.7,35.4,0,4,1.6,0,0.7,67.7,0,0.01,0.076,0,0,0.8,0.066,9.2,0.3,56.2,
chili con carne,271,8.8,3.2,3.6,1,33.1,4.7,14.7,8.3,22.8,1.1,191.5,0.4,0.095,0.091,0.3,0.5,0,1.3,0.063,0.6,66.245,
arroz con abichuelas,223,5.4,0.8,1.1,2.5,37.3,0.2,6.2,4.1,0,0.6,105.6,0,0.045,0.072,0,0,0.4,0.046,23.6,1.9,78.5,
biscuit with sausage,412,27.1,8.2,13.5,3.4,33.3,1.8,10.7,0.4,31.1,0.9,36.4,0,0.4,0.2,0,0.044,0.9,0.035,52.2,2.1,125.8,
vegetarian stew,304,7.4,1.2,1.8,3.8,17.3,3.1,42,2.7,0,1,172.9,0,1.7,1.5,0,0,1.2,0.041,76.6,3.2,149.2,
chicken sandwich with cheese,632,38.8,12.4,13.7,9.9,41.6,0,29.4,0,77.5,1.2,104.9,0.2,0.4,0.5,3,0,0,0,257.6,3.6,374.2,
biscuit with egg steak,410,28.4,8.6,11.7,5.8,21.3,0,17.9,0,272.3,0.9,77.7,0.2,0.4,0.5,0.1,0,0,0,137.6,5.3,210.8,
taco salad,212,11.2,5.2,3.9,1.3,17.9,0,10,0,33,0.6,108.5,0,0.091,0.3,2.7,0,0,0,145.5,1.7,189,
succotash,213,1.5,0.3,0.3,0.7,46.8,0,9.7,0,0,0.5,131.3,0,0.3,0.2,15.7,0,0,0,32.6,2.9,109.2,
nachos with cheese jalapeno peppers,608,34.1,14,14.4,4,60.1,0,16.8,0,83.6,1.7,87.1,0.4,0.1,0.5,1,0,0,0,620.2,2.4,735,
biscuit with egg ham,442,27,5.9,11,7.7,31.4,4.2,20.4,0.8,299.5,1.4,108.7,0.1,0.7,0.6,0,0.093,2.1,0.057,220.8,4.6,305.1,
ladyfingers,103,2.6,0.9,1.1,0.4,16.9,7.2,3,0.3,62.5,0.016,5.5,0,0.096,0.1,1,0.033,0.2,0.002,13.3,1,38.1,
mozzarella steak fried,102,5.9,2.2,1.5,1.6,7.7,0.7,4.6,0.6,10.2,0.2,11.8,0.023,0.025,0.088,0,0.096,0.3,0.071,107.9,0.2,126.963,
tamale navajo,285,11.4,4.5,5.1,1.3,33.7,1.8,11.7,5.8,31.6,0.8,126.7,0,0.057,0.1,3.2,0,0,0,53.9,2.3,122,
blueberry pancakes,84,3.5,0.8,0.9,1.6,11,0,2.3,0,21.3,0.2,20.2,0.023,0.016,0.1,0.8,0,0,0,78.3,0.7,96.631,
chimichanga with beef cheese,443,23.4,11.2,9.4,0.7,39.3,0,20.1,0,51.2,1,96.4,0.1,0.4,0.9,2.7,0,0,0,237.9,3.8,327.3,
egg cheese sandwich,340,19.4,6.6,8.3,2.6,25.9,0,15.6,0,290.5,0.8,82.2,0.2,0.3,0.6,1.5,0,0,0,224.8,3,290.4,
biscuit with egg bacon,458,31.1,8,13.4,7.5,28.6,3.3,17,0.8,352.5,1.3,70,0.082,0.1,0.2,2.7,0.066,2,0.098,189,3.7,272.958,
pupusas con queso,300,15.5,7.6,4,1.8,26.2,1.4,13.7,3.4,37.4,0.5,58.9,0.1,0.099,0.1,0,0,0.5,0.073,380.3,0.7,439.9,
apple croissant,145,5,2.8,1.4,0.4,21.1,0,4.2,1.4,17.7,0.2,26,0.031,0.1,0.022,0.3,0,0,0,17.1,0.6,49.733,
refried red beans,336,16.1,2.2,3.9,10.2,36,0,11.7,11,0,0.9,164.8,0,0.053,0.092,0,0,2.4,0,76.9,4.5,156.2,
tostada with guacamole,180,11.6,4.9,4.2,1.5,16,0,6.2,0,19.6,0.4,94.6,0.016,0.092,0.3,1.8,0,0,0,211.4,0.8,247.853,
chicken sandwich,468,20.9,4,8.4,5.9,39.1,6.8,30.4,2.6,65.5,1.4,91.5,0.077,0.03,0.053,0.7,1.5,0.031,4.5,0.012,0.2,94.051,
fried rice,228,3.2,0.7,0.8,1.3,43.4,0.6,6.5,1.5,32.2,0.6,85.4,0.076,0.052,0.088,0,0.059,0.2,0.081,19.6,1,75.203,
pupusas del cerdo,283,12.7,3.9,4.8,2.7,28.1,1.8,14,3.2,35.4,0.5,64.8,0.064,0.1,0.1,0,0,0.4,0.016,59.8,1.2,119.087,
turkey pot pie,699,34.9,11.4,13.7,5.5,70.3,0,25.8,4.4,63.5,1.4,260.8,0,0,0,0,0,0,0,0,4,139.4,
cheese croissant,331,16.7,8.5,5.2,1.9,37.6,9.1,7.4,2.1,45.6,0.3,16.8,0.2,0.4,0.3,0.2,0,1.2,0.022,42.4,1.7,108.3,
chimichanga with beef,425,19.7,8.5,8.1,1.1,42.8,0,19.6,0,8.7,0.9,88.2,0,0.5,0.6,4.7,0,0,0,62.6,4.5,153.9,
french toast with butter,178,9.4,3.9,3.5,1.2,18,0,5.2,0,58.1,0.3,34.2,0.088,0.3,0.2,0.004,0,0,0,36.5,0.9,70.093,
ham egg cheese sandwich,347,16.3,7.4,5.7,1.7,30.9,0,19.2,0,246,1,73.1,0.2,0.4,0.6,2.7,0,0,0,211.6,3.1,284,
english muffin with butter,189,5.8,2.4,1.5,1.3,30.4,0,4.9,0,12.6,0.4,20.6,0.089,0.3,0.3,0.8,0,0.1,0,102.7,1.6,146.209,
savoury noodle one pan dinner tandaco,172,1.2,0.5,32.9,3.6,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,
ham cheese sandwich,352,15.5,6.4,6.7,1.4,33.3,0,20.7,0,58.4,0.8,74.2,0.019,0.3,0.5,2.8,0,0.3,0,129.9,3.2,205.416,
sweet gefilte fish,35,0.7,0.2,0.3,0.1,3.1,0,3.8,0,12.6,0.2,33.7,0.062,0.028,0.024,0.3,0,0,0,9.7,1,18.677,
poached egg,72,4.7,1.6,1.8,1,0.4,0.2,6.3,0,185,0.1,37.9,0.088,0.059,0.2,0,0.084,0.5,0.032,28,0.9,40.398,
tostada with beef cheese,315,16.3,10.4,3.3,1,22.8,0,19,0,40.8,0.9,101.1,0.022,0.034,0.6,2.6,0,0,0,216.8,2.9,280.498,
tostada with beans cheese,223,9.9,5.4,3.1,0.7,26.5,0,9.6,0,30.2,0.5,95.4,0.011,0.1,0.3,1.3,0,0,0,210.2,1.9,259.467,
pork tamale,247,12.8,3.8,4.6,2.9,22.4,0.7,10.4,3.4,28.4,0.7,93.8,0.037,0.045,0.05,0,0,0.8,0.033,106.5,1.2,156.766,
nachos with cheese,274,17.2,1.7,11.2,4,27.9,1.7,3.5,2.6,2.4,0.3,29.9,0.044,0.09,0.006,0.2,0.9,0,3.3,0.05,0.029,51.581,
pulled pork in barbecue sauce,418,11,3.5,4.5,1.9,46.7,37.8,32.8,3,87.2,1.7,151.9,0,0.4,0.3,0.5,0.064,2.2,0.099,109.6,3.1,206.7,
baked potato with cheese sauce,474,28.7,10.6,10.7,6,46.5,0,14.6,0,17.8,0.4,194.6,0.3,0.2,0.2,26,0,0,0,310.8,3,429.9,
baked beans,310,10.3,3.9,4.3,1.5,43.3,0,11.1,11,10,0.8,130.3,0,0,0,0.2,2.2,0,0,0,0.3,76.2,
arroz con frijoles,220,5.6,1.1,1.3,2.3,35.6,1.3,6.8,5,0,0.6,95.6,0,0.2,0.024,0,0,0.7,0.096,54,2.3,109.3,
taco with beef cheese lettuce,156,8.8,3,3,2.1,13.7,0.6,6.1,2.7,19.3,0.3,39.3,0.043,0.07,0.098,0.3,0.06,0.4,0.057,61.4,0.8,93.825,
burrito with beans cheese beef,165,6.6,3.6,2.2,0.5,19.8,0,7.3,0,61.9,0.5,65.9,0,0.2,0.4,2.5,0,0,0,65,1.9,103.1,
egg mix,30,2.2,0.8,0.8,0.4,0.098,0.091,2.4,0,81.5,0.012,0.1,0.078,0.092,0.069,0.034,0,0.049,0.2,0.078,0.055,4.876,
falafel,57,3,0.4,1.7,0.7,5.4,0,2.3,0,0,0.081,5.9,0,0,0,0.01,0.3,0,0,0,0.002,10.763,
taco salad with chili con carne,193,8.8,4,3,1,17.7,0,11.6,0,3.5,0.6,133.6,0.1,0.1,0.3,2.3,0,0,0,163.6,1.8,205.9,
wonton wrappers,93,0.5,0.022,0.033,0.2,18.5,0,3.1,0.6,2.9,0.2,9.2,0.097,0.2,0.1,0,0,0,0,15,1.1,38.815,
hushpuppies,512,20.5,3.2,5,11,69.9,3.1,11.7,4.3,68.4,1,44.1,0.074,0.5,0.5,0.3,0,1.9,0.01,422.6,4.6,533.994,
chicken pot pie,598,34.6,12.6,11.9,8.3,57.3,7.2,14.6,3,51.3,1.2,191.6,0,0.2,0.03,3,0.024,1.1,0.034,63.4,1.8,177.7,
general tsos chicken,1578,87.5,14.8,20.8,40.1,128.3,62.1,69,4.8,283.6,2.3,241.6,0.081,0.1,0.6,8.6,0.015,6.5,0.2,64.2,6.2,368.673,
burrito with beans cheese,379,11.2,4.3,2.3,4.1,57.8,3.2,13.6,7.8,9.3,1,98.4,0.033,0.4,0.2,0.7,0.02,1,0.02,229.4,4.4,324.946,
vegetarian fillets,247,15.3,2.4,3.7,7.9,7.7,0.7,19.6,5.2,0,0.4,38.3,0,0.9,0.8,0,0,2.9,0,80.8,1.7,130.3,
biscuit with egg sausage,505,33.6,10.4,16.2,4.8,34.1,1.5,18,0.3,260.8,1.1,72.1,0.071,0.5,0.4,0,0.047,1.5,0.042,82.6,3.1,171.757,
chicken chow mein,513,16.9,3,3.7,7.4,50.1,10.5,40.8,6,96.6,1.9,489.3,0.093,0.2,0.1,12.1,0,2.6,0.1,126.8,4,256.797,
fruit burrito,231,9.5,4.6,3.4,1.1,35,0,2.5,0,3.7,0.2,26.4,0,0.2,0.2,0.7,0,0,0,15.5,1.1,64.3,
arroz con leche,369,9.3,4.8,2.6,1.1,63,38.6,8.1,1.3,20.2,0.3,170.5,0,0.088,0.2,0,0,0.5,0,227.7,0.6,310,
caramel custard flan,444,12.3,5.5,3.9,1.2,69.7,70.8,13.9,0,275.4,0.2,208.2,0.1,0.092,0.6,0,0,0.7,0.081,254,1.2,351.2,
