food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B2,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Nutrition Density,
mammy apple mamey,431,4.2,1.2,1.7,0.7,105.8,0,4.2,25.4,0,0.1,729.3,0,0.2,0.3,118.4,0,0,0,93.1,5.9,357,
nance,82,1.3,0,0,0,19,9.3,0.7,8.4,0,0.039,90.3,0,0,0,0.098,103.6,0,1.4,0.078,0.037,29.436,
coconut whole coconut,3336,71.5,672,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5,
prickly pear,42,0.5,0.014,0.038,0.2,9.9,0,0.8,3.7,0,0.044,90.2,0,0,0,0.097,14.4,0,0,0,0.051,14.977,
lychee,6,0.016,0.06,0.03,0.067,1.6,1.5,0.024,0.1,0,0.029,7.8,0,0,0,0.038,6.9,0,0.006,0.086,0.022,2.012,
naranjilla lulo pulp,30,0.3,0,0,0,7.1,4.5,0.5,1.3,0,0.044,111.7,0,0.039,0,3.8,0,0.9,0.011,9.6,0.4,23,
coconut meat dried,187,18.3,16.2,0.8,0.2,6.7,2.1,1.9,4.6,0,0.058,0.8,0,0.054,0.012,0.4,0,0.1,0.049,7.4,0.9,40.2,
waxgourd raw,17,0.3,0.036,0.024,0.1,4,0,0.5,3.8,0,0.1,126.9,0,0.07,0.1,17.2,0,0,0,25.1,0.5,51.4,
surinam cherry pitanga,2,0.059,0,0,0,0.5,0,0.045,0,0,0.1,6.4,0,0.024,0.004,1.8,0,0,0,0.6,0,3.056,
passion fruit,17,0.1,0.098,0.051,0.053,4.2,2,0.4,1.9,0,0.072,13.1,0,0,0,0.074,5.4,0,0.078,0.03,0.015,6.667,
sapodilla,141,1.9,0.3,0.9,0.05,33.9,0,0.7,9,0,0.08,132.6,0,0,0.001,25,0,0,0,35.7,1.4,107.6,
pummelo,48,0.06,0,0,0,12,0,1,1.3,0,0.094,111.4,0,0,0,0.005,76.3,0,0,0,0.097,14.376,
coconut meat,1405,133,117.9,5.7,1.5,60.5,24.7,13.2,35.7,0,0.022,186.6,0,0.3,0.054,13.1,0,1,0.019,55.6,9.6,320.7,
soursop,149,0.7,0.1,0.2,0.2,37.9,30.5,2.3,7.4,0,0.024,182.6,0,0.2,0.1,46.4,0,0.2,0.031,31.5,1.4,127.6,
papaya,62,0.4,0.1,0.1,0.051,15.7,11.3,0.7,2.5,0,0.004,127.7,0,0,0,0.014,88.3,0,0.4,0.06,0.017,19.422,
acerola cherry,2,0.052,0.074,0.086,0.036,0.4,0,0.079,0.077,0,0.088,4.4,0,0,0,0.076,80.5,0,0,0,0.007,0.707,
ohelo berries,39,0.3,0,0,0,9.6,0,0.5,0,0,0.068,129.2,0,0.066,0.082,8.4,0,0,0,9.8,0.1,28.7,
loganberries,81,0.5,0.053,0.023,0.3,19.1,11.3,2.2,7.8,0,0.06,124.4,0,0.008,0.05,22.5,0,1.3,0.065,38.2,0.9,91.2,
casaba melon,48,0.2,0.012,0.046,0.012,11.2,9.7,1.9,1.5,0,0.057,156.1,0,0.083,0.042,37.1,0,0.053,0.034,18.7,0.6,71.2,
durian,51,1.9,0,0,0,9.5,0,0.5,1.3,0,0.079,22.7,0,0,0,0.1,6.9,0,0,0,0.094,13.358,
coriander leaves raw,4,0.086,0.044,0.01,0.064,0.6,0.1,0.3,0.4,0,0.005,14.8,0,0.083,0.059,4.3,0,0.4,0.008,10.7,0.3,16.674,
garden cress raw,3,0.062,0.052,0.049,0.062,0.5,0.4,0.2,0.063,0,0.079,8,0,0,0,0.017,6.2,0,0.011,0.04,0.009,0.886,
pasilla peppers dried,24,1.1,0,0,0,3.6,0,0.9,1.9,0,0.063,1,0,0.084,0.2,0.4,0,0,0,6.8,0.7,15.4,
parsley dried,1,0.096,0.064,0.086,0.093,0.3,0.073,0.1,0.1,0,0.058,0.09,0,0.062,0.014,0.6,0,0.008,0.063,5.7,0.1,6.95,
ancho pepper dried,48,1.4,0.1,0.08,0.8,8.7,0,2,3.7,0,0.068,3.8,0,0.055,0.4,0.3,0,0,0,10.4,1.9,28.4,
coriander seeds,5,0.3,0.049,0.2,0.074,1,0,0.2,0.8,0,0.095,0.2,0,0.003,0.092,0.4,0,0,0,12.8,0.3,15.8,
dill weed dried,253,4.4,0.2,0,0,55.8,0,20,13.6,0,0.2,7.3,0,0,0,1.7,50,0,0,0,0.5,96,
borage,19,0.6,0.2,0.2,0.017,2.7,0,1.6,0,0,0.023,82.8,0,0.073,0.1,31.2,0,0,0,82.8,2.9,121.8,
epazote,0,0.06,0,0,0,0.094,0,0.059,0.051,0,0.021,0.7,0,0,0,0.026,0.047,0,0,0,0.067,0.363,
chives dried,1,0.055,0.051,0.093,0.023,0.1,0,0.013,0.041,0,0.04,0.091,0,0,0,0.054,1.3,0,0,0,0.047,0.32,
thyme fresh,1,0.068,0.07,0.056,0.085,0.2,0,0.091,0.1,0,0.017,0.5,0,0,0,0.057,1.3,0,0,0,0.018,0.545,
butterbur,4,0.2,0,0,0,0.5,0,0.1,0,0,0.053,121.4,0,0.067,0.081,14.8,0,0,0,42.2,0.8,58.6,
wasabi root,142,0.8,0,0,0,30.6,0,6.2,10.1,0,0.02,89.8,0,0.2,0.1,54.5,0,0,0,166.4,1.3,269.9,
rosemary dried,4,0.2,0.083,0.029,0.085,0.8,0,0.081,0.5,0,0.048,0.1,0,0.002,0.016,0.7,0,0,0,15.4,0.4,18.079,
ginger root,2,0.028,0.048,0.067,0.046,0.4,0.019,0.068,0.058,0,0,1.6,0,0.073,0.055,0.1,0,0.03,0.02,0.3,0.061,1.028,
white pepper,7,0,0.002,0.049,0.032,1.6,0,0.2,0.6,0,0.075,0.3,0,0,0,0.075,0.5,0,0,0,0.069,2.514,
cloves ground,6,0.3,0.017,0.037,0.2,1.4,0.028,0.1,0.7,0,0,0.2,0,0.097,0.095,0.083,0,0.2,0.036,13.3,0.2,16.019,
paprika,19,0.9,0.1,0.1,0.5,3.7,0.7,1,2.4,0,0.061,0.8,0,0,0,0.1,0.022,0,2,0.061,0.061,8.206,
mace ground,25,1.7,0.5,0.6,0.2,2.7,0,0.4,1.1,0,0.097,0.4,0,0.079,0.032,1.1,0,0,0,13.4,0.7,21.1,
bay leaf,2,0.042,0.08,0.095,0.076,0.4,0,0.086,0.2,0,0.084,0.07,0,0.021,0.054,0.3,0,0,0,5,0.3,6.316,
eppaw,150,1.8,0,0,0,31.7,0,4.6,0,0,0.015,60,0,0,0,0.2,13,0,0,0,0.2,38.5,
tarragon dried,2,0.047,0.01,0.081,0.068,0.3,0,0.1,0.038,0,0.012,0.068,0,0.011,0.082,0.3,0,0,0,6.8,0.2,7.752,
ginger ground,6,0.043,0.088,0.021,0.095,1.3,0.067,0.2,0.3,0,0.038,0.2,0,0.037,0.091,0.094,0,0,0.043,2.1,0.4,4.327,
savory ground,4,0.029,0.085,0,0,1,0,0.074,0.6,0,0.055,0.1,0,0,0,0,0.7,0,0,0,0.043,1.895,
black pepper,6,0.006,0.034,0.04,0.065,1.5,0.08,0.2,0.6,0,0.036,0.3,0,0,0,0.073,0,0,0.084,0.045,0.001,2.505,
spearmint fresh,3,0.089,0.049,0.068,0.022,0.5,0,0.2,0.4,0,0.092,4.9,0,0,0,0.033,0.8,0,0,0,0.008,1.261,
poultry seasoning,14,0.3,0.1,0.094,0.079,2.9,0.1,0.4,0.5,0,0.063,0.4,0,0.046,0.042,0.5,0,0.088,0.026,43.8,1.6,50,
nutmeg ground,12,0.8,0.6,0.056,0.088,1.1,0.6,0.1,0.5,0,0.095,0.1,0,0.065,0.055,0.001,0,0,0,4,0.018,6.656,
curry powder,20,0.9,0.1,0.3,0.2,3.7,0.2,0.8,2.1,0,0.004,0.6,0,0,0,0.05,0.7,0,1.4,0.094,0.034,7.681,
peppermint,1,0.004,0.016,0.034,0.051,0.2,0,0.038,0.1,0,0.007,1.3,0,0,0,0.061,0.5,0,0,0,0.078,0.423,
salt,0,0,0,0,0,0,0,0,0,0,7,0.022,0,0,0,0,0,0,0,4.3,0.006,4.329,
coriander leaves dried,2,0.098,0.099,0.09,0.081,0.3,0.045,0.1,0.095,0,0.018,0.009,0,0,0,0.014,3.4,0,0.08,0.094,0.017,0.633,
sage ground,2,0.046,0.07,0.069,0.013,0.4,0.052,0.058,0.3,0,0.083,0.051,0,0.018,0.1,0.2,0,0.08,0.099,11.6,0.2,12.796,
garlic powder,10,0.029,0.003,0.045,0.016,2.3,0.068,0.5,0.3,0,0.082,0.2,0,0,0,0.093,0.091,0,0.039,0.008,0.003,3.269,
dill weed fresh,4,0.063,0.064,0.022,0.052,0.6,0,0.3,0.2,0,0.017,7.6,0,0,0,0.003,7.6,0,0,0,0.09,1.201,
cardamom,6,0.1,0.065,0.038,0.071,1.4,0,0.2,0.6,0,0.013,0.2,0,0.072,0.056,0.4,0,0,0,7.7,0.3,10.7,
saffron,2,0.092,0.047,0.1,0.05,0.5,0,0.071,0.002,0,0.063,0.086,0,0,0,0.023,0.6,0,0,0,0.037,0.682,
allspice ground,5,0.2,0.034,0.084,0.063,1.4,0,0.1,0.4,0,0.001,0.2,0,0.026,0.08,0.7,0,0,0,12.6,0.1,15.5,
parsley fresh,1,0.078,0.016,0.037,0.01,0.2,0.001,0.1,0.1,0,0.056,3.3,0,0,0,0.081,5.1,0,0.029,0.013,0.085,0.509,
oregano dried,265,4.3,1.6,0.7,1.4,68.9,4.1,9,42.5,0,0.009,9.9,0,0,0,1,2.3,0,18.3,0.6,0.6,126.9,
marjoram dried,5,0.1,0.056,0.076,0.093,1,0.077,0.2,0.7,0,0.004,0.1,0,0,0,0.055,0.9,0,0.029,0.047,0.029,2.032,
chives raw,1,0.088,0.083,0.09,0.002,0.1,0.02,0.03,0.044,0,0.099,2.7,0,0,0,0.097,1.7,0,0.079,0.08,0.059,0.417,
fireweed leaves,24,0.6,0,0,0,4.4,0,1.1,2.4,0,0.035,16.3,0,0.044,0.079,0.5,0,0,0,98.7,0.6,108.3,
rosemary fresh,1,0.1,0.016,0,0.072,0.1,0,0.005,0.012,0,0.039,0.5,0,0,0,0.043,0.2,0,0,0,0.092,0.369,
